,Store/Product,MAPE,R^2
0,Store_1 - AUTOMOTIVE,79.07,0.05203
1,Store_1 - BABY_CARE,,
2,Store_1 - BEAUTY,66.83,0.09228
3,Store_1 - BEVERAGES,17.83,0.55825
4,Store_1 - BOOKS,496.29,0.18965
5,Store_1 - BREAD/BAKERY,37.08,0.35256
6,Store_1 - CELEBRATION,295.86,0.04783
7,Store_1 - CLEANING,24.89,0.65435
8,Store_1 - DAIRY,23.82,0.47791
9,Store_1 - DELI,18.66,0.53888
10,Store_1 - EGGS,16.5,0.58415
11,Store_1 - FROZEN_FOODS,35.58,0.09468
12,Store_1 - GROCERY_I,19.68,0.6505
13,Store_1 - GROCERY_II,37.55,0.35462
14,Store_1 - HARDWARE,74.56,0.00296
15,Store_1 - HOME_AND_KITCHEN_I,44.66,0.30611
16,Store_1 - HOME_AND_KITCHEN_II,32.61,0.46122
17,Store_1 - HOME_APPLIANCES,536.36,0.10241
18,Store_1 - HOME_CARE,35.07,0.5447
19,Store_1 - LADIESWEAR,52.94,0.30515
20,Store_1 - LAWN_AND_GARDEN,37.01,0.30586
21,Store_1 - LINGERIE,101.2,0.00552
22,Store_1 - LIQUOR_WINE_BEER,21.7,0.49605
23,Store_1 - MAGAZINES,74.25,0.0007
24,Store_1 - MEATS,16.57,0.642
25,Store_1 - PERSONAL_CARE,25.77,0.55994
26,Store_1 - PET_SUPPLIES,63.49,0.03764
27,Store_1 - PLAYERS_AND_ELECTRONICS,61.19,0.12913
28,Store_1 - POULTRY,26.87,0.56807
29,Store_1 - PREPARED_FOODS,44.56,0.11281
30,Store_1 - PRODUCE,20.19,0.80946
31,Store_1 - SCHOOL_AND_OFFICE_SUPPLIES,,
32,Store_1 - SEAFOOD,36.08,0.01382
33,Store_10 - AUTOMOTIVE,59.19,0.00774
34,Store_10 - BABY_CARE,,
35,Store_10 - BEAUTY,44.05,0.09397
36,Store_10 - BEVERAGES,13.72,0.08702
37,Store_10 - BOOKS,,
38,Store_10 - BREAD/BAKERY,11.47,0.62321
39,Store_10 - CELEBRATION,46.34,0.35692
40,Store_10 - CLEANING,15.96,0.25176
41,Store_10 - DAIRY,13.19,0.59152
42,Store_10 - DELI,19.02,0.37757
43,Store_10 - EGGS,52.25,0.60822
44,Store_10 - FROZEN_FOODS,26.77,0.09779
45,Store_10 - GROCERY_I,8.8,0.63005
46,Store_10 - GROCERY_II,55.36,0.31126
47,Store_10 - HARDWARE,55.59,0.28565
48,Store_10 - HOME_AND_KITCHEN_I,49.25,0.16151
49,Store_10 - HOME_AND_KITCHEN_II,31.17,0.46039
50,Store_10 - HOME_APPLIANCES,136.59,0.01149
51,Store_10 - HOME_CARE,16.25,0.34945
52,Store_10 - LADIESWEAR,68.91,0.11476
53,Store_10 - LAWN_AND_GARDEN,,
54,Store_10 - LINGERIE,69.21,0.10594
55,Store_10 - LIQUOR_WINE_BEER,41.77,0.77244
56,Store_10 - MAGAZINES,92.94,0.02458
57,Store_10 - MEATS,12.75,0.49219
58,Store_10 - PERSONAL_CARE,13.78,0.37542
59,Store_10 - PET_SUPPLIES,82.91,0.02184
60,Store_10 - PLAYERS_AND_ELECTRONICS,88.82,0.15937
61,Store_10 - POULTRY,14.38,0.43062
62,Store_10 - PREPARED_FOODS,27.85,0.10902
63,Store_10 - PRODUCE,15.05,0.40445
64,Store_10 - SCHOOL_AND_OFFICE_SUPPLIES,39.83,0.68556
