Geo_FIPS,StateFIPS,CountyFIPS,TractFIPS,BlockgroupFIPS,TotalPopEst2015_19ACS,YearOfStartDate,UnderAge1PopEst2015_19ACS,Age0to17PopEst2015_19ACS,Unique0to17WithED_Visit,Unique0to17WithED_VisitPer100,NumberED_VisitsAge0to17,ED_VisitsPer100Age0to17,NumberLowAcuityED_VisitsAge0to17,LowAcuityED_VisitsPer100Age0to17,NumberAsthmaRelatedED_Visits,AsthmaRelatedED_VisitsPer100Age0to17,NumberED_VisitsByChildrenUnder1YearOld,NumberOfInjuryRelatedVisits,InjuryRelatedEDVisitsPer100Age0to17,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,AcuteRespiratoryTractInfectionRelatedED_VisitsPer100Age0to17
420031301002,42,3,130100,2,518,2016,9.4,207,70,33.8,122,58.9,62,30,40,19.3,14,1,0.5,18,8.7
420031301002,42,3,130100,2,518,2017,9.4,207,69,33.3,130,62.8,80,38.6,54,26.1,11,1,0.5,27,13
420031301002,42,3,130100,2,518,2018,9.4,207,66,31.9,138,66.7,85,41.1,59,28.5,13,2,1,19,9.2
420031301002,42,3,130100,2,518,2019,9.4,207,66,31.9,148,71.5,96,46.4,68,32.9,7,,0,27,13
420031301003,42,3,130100,3,489,2016,0,134,38,28.4,71,53,39,29.1,13,9.7,12,2,1.5,10,7.5
420031301003,42,3,130100,3,489,2017,0,134,35,26.1,93,69.4,59,44,31,23.1,19,1,0.7,15,11.2
420031301003,42,3,130100,3,489,2018,0,134,51,38.1,86,64.2,56,41.8,23,17.2,9,1,0.7,15,11.2
420031301003,42,3,130100,3,489,2019,0,134,43,32.1,80,59.7,62,46.3,18,13.4,6,1,0.7,14,10.4
420031302001,42,3,130200,1,307,2016,0,49,60,122.4,99,202,41,83.7,45,91.8,9,,0,24,49
420031302001,42,3,130200,1,307,2017,0,49,68,138.8,134,273.5,70,142.9,65,132.7,30,,0,36,73.5
420031302001,42,3,130200,1,307,2018,0,49,63,128.6,142,289.8,76,155.1,74,151,12,,0,35,71.4
420031302001,42,3,130200,1,307,2019,0,49,73,149,148,302,102,208.2,63,128.6,17,,0,34,69.4
420031302002,42,3,130200,2,1115,2016,28.2,317,56,17.7,88,27.8,40,12.6,20,6.3,12,3,0.9,18,5.7
420031302002,42,3,130200,2,1115,2017,28.2,317,54,17,86,27.1,41,12.9,12,3.8,9,,0,11,3.5
420031302002,42,3,130200,2,1115,2018,28.2,317,56,17.7,100,31.5,62,19.6,17,5.4,16,,0,27,8.5
420031302002,42,3,130200,2,1115,2019,28.2,317,62,19.6,120,37.9,66,20.8,35,11,10,,0,19,6
420031303001,42,3,130300,1,358,2016,5.2,99,48,48.5,86,86.9,51,51.5,19,19.2,15,1,1,23,23.2
420031303001,42,3,130300,1,358,2017,5.2,99,45,45.5,82,82.8,53,53.5,13,13.1,12,1,1,19,19.2
420031303001,42,3,130300,1,358,2018,5.2,99,49,49.5,80,80.8,53,53.5,16,16.2,4,,0,17,17.2
420031303001,42,3,130300,1,358,2019,5.2,99,46,46.5,87,87.9,57,57.6,16,16.2,14,1,1,13,13.1
420031303002,42,3,130300,2,364,2016,0,110,61,55.5,100,90.9,46,41.8,24,21.8,14,1,0.9,12,10.9
420031303002,42,3,130300,2,364,2017,0,110,66,60,101,91.8,61,55.5,20,18.2,25,1,0.9,20,18.2
420031303002,42,3,130300,2,364,2018,0,110,64,58.2,122,110.9,81,73.6,25,22.7,17,2,1.8,18,16.4
420031303002,42,3,130300,2,364,2019,0,110,72,65.5,118,107.3,90,81.8,13,11.8,12,1,0.9,14,12.7
420031303003,42,3,130300,3,508,2016,0,62,68,109.7,127,204.8,62,100,39,62.9,18,1,1.6,23,37.1
420031303003,42,3,130300,3,508,2017,0,62,68,109.7,135,217.7,58,93.5,38,61.3,11,,0,14,22.6
420031303003,42,3,130300,3,508,2018,0,62,62,100,119,191.9,62,100,40,64.5,4,,0,19,30.6
420031303003,42,3,130300,3,508,2019,0,62,72,116.1,141,227.4,91,146.8,19,30.6,10,1,1.6,24,38.7
420031304001,42,3,130400,1,231,2016,7.2,61,33,54.1,71,116.4,36,59,20,32.8,16,1,1.6,13,21.3
420031304001,42,3,130400,1,231,2017,7.2,61,36,59,80,131.1,49,80.3,37,60.7,17,4,6.6,18,29.5
420031304001,42,3,130400,1,231,2018,7.2,61,44,72.1,81,132.8,40,65.6,33,54.1,8,1,1.6,18,29.5
420031304001,42,3,130400,1,231,2019,7.2,61,45,73.8,77,126.2,44,72.1,26,42.6,10,2,3.3,8,13.1
