var_1,var_2,correlation,abs_corr,corr_level
Median,Mean,0.9482513380408178,0.9482513380408178,HIGH
Mode,Median,0.9333991564866512,0.9333991564866512,HIGH
Min,Width,-0.8985189643113362,0.8985189643113362,HIGH
Mode,Mean,0.8934123838327097,0.8934123838327097,HIGH
LB,Median,0.7892464071560361,0.7892464071560361,HIGH
Width,Nmax,0.747070939952509,0.747070939952509,HIGH
Mean,LB,0.7231210383374249,0.7231210383374249,HIGH
Mode,LB,0.7089925001119627,0.7089925001119627,HIGH
Max,Width,0.6907687901199792,0.6907687901199792,MID
Min,Nmax,-0.670286852429013,0.670286852429013,MID
Width,MSTV,0.660846777385121,0.660846777385121,MID
Min,MSTV,-0.6225692461584522,0.6225692461584522,MID
Variance,Width,0.615883807027805,0.615883807027805,MID
Variance,MSTV,0.555852440905214,0.555852440905214,MID
Min,Variance,-0.5450906372272376,0.5450906372272376,MID
Min,DL,-0.5391250687501797,0.5391250687501797,MID
Width,DL,0.5206556899083187,0.5206556899083187,MID
Max,Nmax,0.5176521253287983,0.5176521253287983,MID
MSTV,DL,0.5169010601532903,0.5169010601532903,MID
DL,Variance,0.5151302811168759,0.5151302811168759,MID
Mean,DP,-0.5115028936261713,0.5115028936261713,MID
Mean,DL,-0.5094457866019869,0.5094457866019869,MID
MSTV,Nmax,0.5014295009682818,0.5014295009682818,MID
DP,Variance,0.48721206392548294,0.48721206392548294,LOW
Mean,Min,0.4861211705999608,0.4861211705999608,LOW
MSTV,ALTV,-0.4702588785852291,0.4702588785852291,LOW
ASTV,ALTV,0.459412717035967,0.459412717035967,LOW
Variance,Nmax,0.4543539796314367,0.4543539796314367,LOW
ALTV,Width,-0.4512965006388677,0.4512965006388677,LOW
DP,Median,-0.445473420523202,0.445473420523202,LOW
MSTV,Mean,-0.44540138348835523,0.44540138348835523,LOW
Max,Variance,0.43909413433211786,0.43909413433211786,LOW
MSTV,ASTV,-0.4307049763408827,0.4307049763408827,LOW
Min,ALTV,0.4228343779398739,0.4228343779398739,LOW
Mode,Tendency,0.4155638806952098,0.4155638806952098,LOW
Mode,DP,-0.4134450967972045,0.4134450967972045,LOW
Max,MSTV,0.4090721236166499,0.4090721236166499,LOW
Min,Median,0.40019105433653857,0.40019105433653857,LOW
Variance,Mean,-0.399423229201383,0.399423229201383,LOW
DL,Nmax,0.39386014204596576,0.39386014204596576,LOW
Median,Tendency,0.38920974859108726,0.38920974859108726,LOW
Max,AC,0.3734933290969995,0.3734933290969995,LOW
LB,Min,0.3616194956881483,0.3616194956881483,LOW
DL,Median,-0.35387791289577736,0.35387791289577736,LOW
Mode,Min,0.35306684941577976,0.35306684941577976,LOW
ALTV,AC,-0.34516182644212723,0.34516182644212723,LOW
DL,UC,0.3394838084365171,0.3394838084365171,LOW
MSTV,Median,-0.33610928482897945,0.33610928482897945,LOW
Mean,Tendency,0.3270755893379349,0.3270755893379349,LOW
Width,Nzeros,0.3172761102556874,0.3172761102556874,LOW
Mode,DL,-0.3154625796436035,0.3154625796436035,LOW
ASTV,MLTV,-0.31510467145060683,0.31510467145060683,LOW
Mode,Variance,-0.3127647492194856,0.3127647492194856,LOW
MSTV,Mode,-0.3075864958212233,0.3075864958212233,LOW
Nzeros,Min,-0.3065670723468387,0.3065670723468387,LOW
LB,ASTV,0.3055700296333397,0.3055700296333397,LOW
Max,Min,-0.30328583925829106,0.30328583925829106,LOW
Variance,Median,-0.29410466682047864,0.29410466682047864,LOW
DL,DP,0.29406773440179285,0.29406773440179285,LOW
Tendency,LB,0.29350348537464227,0.29350348537464227,LOW
Median,Max,0.29267950052722613,0.29267950052722613,LOW
Width,AC,0.29151551268051973,0.29151551268051973,LOW
Min,DP,-0.29117517601511955,0.29117517601511955,LOW
Nzeros,Nmax,0.2885925364353233,0.2885925364353233,LOW
MSTV,DP,0.28754824188308864,0.28754824188308864,LOW
LB,ALTV,0.2856295781098829,0.2856295781098829,LOW
Max,ALTV,-0.2831833536009498,0.2831833536009498,LOW
DP,Width,0.2827897655346131,0.2827897655346131,LOW
ALTV,Variance,-0.281536151019966,0.281536151019966,LOW
Mean,Width,-0.2808463211339963,0.2808463211339963,LOW
LB,MSTV,-0.27960659730788007,0.27960659730788007,LOW
ALTV,Nmax,-0.2793006831968574,0.2793006831968574,LOW
ASTV,Min,0.2753779937059041,0.2753779937059041,LOW
LB,Max,0.27510979436978356,0.27510979436978356,LOW
ALTV,DL,-0.26629764889699775,0.26629764889699775,LOW
MSTV,Nzeros,0.2661830255872951,0.2661830255872951,LOW
ASTV,Width,-0.2604625770996238,0.2604625770996238,LOW
DL,MLTV,-0.25144183354102834,0.25144183354102834,LOW
Median,AC,0.25072911089362354,0.25072911089362354,LOW
UC,ALTV,-0.24751348775530713,0.24751348775530713,LOW
Min,Tendency,-0.2425791292253303,0.2425791292253303,LOW
DL,Max,0.24218721472540297,0.24218721472540297,LOW
DP,Nmax,0.24076820996083875,0.24076820996083875,LOW
AC,Mean,0.23681102828451947,0.23681102828451947,LOW
Max,Mode,0.23587711403415532,0.23587711403415532,LOW
MSTV,UC,0.2326869065147472,0.2326869065147472,LOW
DP,MLTV,-0.2308494377497869,0.2308494377497869,LOW
Mean,ALTV,0.22232062320709772,0.22232062320709772,LOW
Mode,AC,0.2216925822391872,0.2216925822391872,LOW
Mean,Nmax,-0.21724233645569022,0.21724233645569022,LOW
Mode,DS,-0.2151607400771877,0.2151607400771877,LOW
UC,AC,0.21209995956241193,0.21209995956241193,LOW
DL,Nzeros,0.20848717844516504,0.20848717844516504,LOW
DP,Tendency,-0.2054692566239263,0.2054692566239263,LOW
FM,DP,0.20533721028478183,0.20533721028478183,LOW
AC,ASTV,-0.19798522316333345,0.19798522316333345,LOW
Variance,Nzeros,0.19674688054533038,0.19674688054533038,LOW
Nmax,AC,0.19147543933401212,0.19147543933401212,LOW
MSTV,AC,0.19137847308944764,0.19137847308944764,LOW
Max,Mean,0.19110827780256376,0.19110827780256376,LOW
ALTV,Median,0.18648018735700667,0.18648018735700667,LOW
UC,Variance,0.18418795620297784,0.18418795620297784,LOW
