var_1,var_2,correlation,abs_corr,corr_level
DP,NSP_3.0,0.5802531255945431,0.5802531255945431,MID
NSP_1.0,ASTV,-0.4933912320045834,0.4933912320045834,LOW
NSP_1.0,ALTV,-0.4893999711830537,0.4893999711830537,LOW
NSP_3.0,Mode,-0.41905068653718164,0.41905068653718164,LOW
NSP_2.0,ALTV,0.4186591211011052,0.4186591211011052,LOW
NSP_3.0,Mean,-0.4168856475079202,0.4168856475079202,LOW
Median,NSP_3.0,-0.3848567881069388,0.3848567881069388,LOW
AC,NSP_1.0,0.369470353306608,0.369470353306608,LOW
NSP_2.0,ASTV,0.3482134074144198,0.3482134074144198,LOW
NSP_2.0,LB,0.341921740905837,0.341921740905837,LOW
NSP_1.0,DP,-0.34064719627894613,0.34064719627894613,LOW
NSP_3.0,Variance,0.3310604471277523,0.3310604471277523,LOW
MSTV,NSP_2.0,-0.315373255597442,0.315373255597442,LOW
ASTV,NSP_3.0,0.30673455483655987,0.30673455483655987,LOW
NSP_2.0,AC,-0.28288038616122996,0.28288038616122996,LOW
Min,NSP_2.0,0.26777347553619407,0.26777347553619407,LOW
NSP_2.0,Mean,0.26129842876593307,0.26129842876593307,LOW
LB,NSP_1.0,-0.2518746817176961,0.2518746817176961,LOW
NSP_2.0,Median,0.24924219073253284,0.24924219073253284,LOW
NSP_3.0,MLTV,-0.24554484475114222,0.24554484475114222,LOW
NSP_2.0,Mode,0.22312532040056873,0.22312532040056873,LOW
UC,NSP_2.0,-0.22308090212268178,0.22308090212268178,LOW
Width,NSP_2.0,-0.2193835570044661,0.2193835570044661,LOW
UC,NSP_1.0,0.2136108706909649,0.2136108706909649,LOW
NSP_3.0,ALTV,0.2123430515418514,0.2123430515418514,LOW
NSP_1.0,MSTV,0.20771677561934754,0.20771677561934754,LOW
AC,NSP_3.0,-0.20193841667190662,0.20193841667190662,LOW
NSP_3.0,Tendency,-0.19391894165223686,0.19391894165223686,LOW
NSP_3.0,DL,0.19037288159564414,0.19037288159564414,LOW
NSP_2.0,DL,-0.18742186508718436,0.18742186508718436,LOW
NSP_1.0,MLTV,0.17251927373905135,0.17251927373905135,LOW
NSP_3.0,DS,0.1615158367500247,0.1615158367500247,LOW
Variance,NSP_2.0,-0.16064204771497376,0.16064204771497376,LOW
Min,NSP_1.0,-0.1581706384614604,0.1581706384614604,LOW
Width,NSP_1.0,0.1421817381108896,0.1421817381108896,LOW
NSP_2.0,Nmax,-0.10295651068450953,0.10295651068450953,LOW
Min,NSP_3.0,-0.09755470181197494,0.09755470181197494,LOW
Mode,NSP_1.0,0.09231966519405337,0.09231966519405337,LOW
DS,NSP_1.0,-0.08796730247255008,0.08796730247255008,LOW
NSP_1.0,Variance,-0.0859477261366059,0.0859477261366059,LOW
MSTV,NSP_3.0,0.08260021363076034,0.08260021363076034,LOW
NSP_2.0,Tendency,0.07465270918893466,0.07465270918893466,LOW
NSP_3.0,FM,0.06831881350078109,0.06831881350078109,LOW
NSP_1.0,Tendency,0.06652923984829184,0.06652923984829184,LOW
NSP_3.0,Width,0.060944553475869745,0.060944553475869745,LOW
NSP_1.0,Nmax,0.06035355646572882,0.06035355646572882,LOW
NSP_1.0,Mean,0.05910679029720567,0.05910679029720567,LOW
NSP_2.0,DP,-0.05330367308394223,0.05330367308394223,LOW
NSP_3.0,LB,-0.049356700924607616,0.049356700924607616,LOW
Max,NSP_1.0,0.04810642441345004,0.04810642441345004,LOW
Median,NSP_1.0,0.04789043199813304,0.04789043199813304,LOW
Nzeros,NSP_2.0,-0.04523125034586278,0.04523125034586278,LOW
FM,NSP_1.0,-0.04395317275770202,0.04395317275770202,LOW
NSP_3.0,UC,-0.04206630574198875,0.04206630574198875,LOW
NSP_3.0,Nmax,0.03820464235330672,0.03820464235330672,LOW
Max,NSP_2.0,-0.03515332569730123,0.03515332569730123,LOW
NSP_1.0,Nzeros,0.03116255874277557,0.03116255874277557,LOW
NSP_1.0,DL,0.02969569405315185,0.02969569405315185,LOW
Max,NSP_3.0,-0.028399196350618147,0.028399196350618147,LOW
NSP_2.0,DS,-0.02307014783355595,0.02307014783355595,LOW
MLTV,NSP_2.0,-0.011522395327739013,0.011522395327739013,LOW
Nzeros,NSP_3.0,0.009779608765185164,0.009779608765185164,LOW
NSP_2.0,FM,-0.0016563484524194849,0.0016563484524194849,LOW
